rmean,gmean,bmean,rstd,gstd,bstd,rskew,gskew,bskew,rkur,gkur,bkur
119.40321659687856,118.74005519604111,161.00480586220021,69.23261571765983,69.261541016818,92.65429484583407,-1.1294951503744088,-1.0999360459272558,-1.1317862422391505,-0.7016758461826562,-0.7435985060856694,-0.6980218929196687
101.96179957442497,102.63132029587598,141.71932313304285,72.15679075433367,73.15323361337953,99.51108748823593,-0.6914407167080896,-0.6624354637314703,-0.696986200513303,-1.4995210198970401,-1.522838996834417,-1.4996671120230927
101.72566920026438,100.76421017845341,143.78602115003304,69.06007709640036,69.1209864034704,96.78968459082074,-0.7709560682523385,-0.7283475347410708,-0.7881453660813155,-1.361565914220421,-1.3940936857071722,-1.363225946859885
101.80953412784399,80.02291440953412,123.13586132177682,63.26436061521251,50.93279902618395,76.09976675028462,-0.9563919778881558,-0.8175175359251973,-0.9577828939694396,-1.035804179154801,-1.0579104407939064,-1.0331473988050421
112.72363241482286,68.24440070585041,123.23354146871182,69.61816519914329,47.45626673203302,75.73869843123414,-0.9456046717797424,-0.1705282988878096,-0.9479405835198627,-1.015042892910357,-0.7091786721622491,-1.0138015024145093
116.03956975228162,70.88148631029986,129.36179921773143,69.17986730612348,47.58162857904474,76.6050173560201,-1.020575452556961,-0.2111026875693873,-1.0386863099593358,-0.8543659138607045,-0.5407372924386165,-0.8480015329838806
128.60686643078284,96.51332375055286,141.7763710747457,65.34343296714813,51.32495747582011,71.68633780055649,-1.4188508911518136,-1.1087446713379656,-1.422327493678731,0.08816733056228276,-0.1807052894338237,0.09233688360246228
126.94537157757497,95.35078226857888,141.10697522816167,64.80225774582088,50.9207397498916,71.68429692702904,-1.409310462128832,-1.1083454264121637,-1.4132873988325885,0.0560239749595981,-0.21144647729675592,0.06052488399842515
122.1730451366815,84.55352828989193,134.41627463445644,72.7280528678166,53.23010265758518,79.69222991494928,-1.046384559035873,-0.6871553165995741,-1.050654893270743,-0.8464143446638146,-0.8942931724040593,-0.8444612119196897
130.17513542795234,93.37778981581799,142.94528710725893,70.19794902256874,53.11465005614152,76.68120069891454,-1.280623851092817,-0.8889360745410999,-1.2869884451031004,-0.3002224003869576,-0.4416893998943081,-0.2933957144210253
129.33476680799515,95.4840096910963,144.01483949121746,68.02577305068334,52.29687727211061,75.394552483417,-1.3403282104463996,-1.0698900810956034,-1.3417529591329682,-0.15041594996780194,-0.34178878026540627,-0.15091942552426607
129.45220588235293,91.54737986743993,141.82907000828502,71.04300550522392,52.91113460563728,77.48653595264418,-1.2390400588275319,-0.9005106645791149,-1.246241497370249,-0.4118684698976107,-0.5849631147483594,-0.40317808081212725
129.97048243757934,93.1426153195091,143.91858865848496,69.09673308884133,51.79590096735073,76.16937358048395,-1.3162841672686567,-1.0098374179208367,-1.3227435643594674,-0.21626690920197955,-0.4245630956298134,-0.20708437638767885
110.22177663438256,69.63831719128329,119.88430690072639,67.5674305449846,46.927856927029985,73.14990087675234,-0.9652808805419456,-0.27918116584546404,-0.9646085513692423,-0.9734653683099297,-0.6053543749835391,-0.9741393748882463
103.88721335992024,81.46628863409771,121.96741026919243,62.57734787931265,49.58562701946703,73.1186773287118,-1.0399086798286161,-0.9885808561613859,-1.0385096317138232,-0.9072491871105579,-0.9244357944559805,-0.9046325530307522
120.94214876033058,87.74086910157291,135.84737403359105,69.01814049955847,53.15149804855782,77.11532117355068,-1.1365848834615928,-0.700127640520566,-1.139660788764077,-0.6210165068398434,-0.6463263868854678,-0.619437233239025
