var,asm,contrast,correlation,idm,entropy,homogenity,energy,dissimilarity,Class
2378.244684,0.009157831,1211.821712,0.79701692,0.525641774,7.810224461,0.525641774,0.095696555,8.398867739,1
2231.711952,0.008901218,1225.951925,0.784519809,0.493865241,7.91515804,0.493865241,0.094346268,8.767636599,1
2054.426557,0.006830291,1165.783478,0.778995825,0.464011463,8.416441886,0.464011463,0.082645574,8.621759588,1
1567.73571,0.008009166,668.1850878,0.824331754,0.499687497,8.325646742,0.499687497,0.089493943,6.199938283,1
1557.136176,0.00408427,890.2227241,0.777694458,0.468373399,9.29181155,0.468373399,0.063908297,7.383221889,1
1644.350369,0.004071063,952.2600635,0.775463491,0.44889245,9.423438138,0.44889245,0.063804883,7.890429256,1
2068.083179,0.006896239,831.6877904,0.832588535,0.448639606,8.762521344,0.448639606,0.083043594,6.706965167,1
2020.961483,0.00758454,786.619024,0.83710203,0.457140456,8.605832056,0.457140456,0.087089266,6.536450532,1
1943.497975,0.005576562,803.1517842,0.828773275,0.494835069,8.817401578,0.494835069,0.074676385,6.476803614,1
1672.687426,0.006887064,965.50553,0.776047607,0.463051197,8.718878445,0.463051197,0.082988337,7.331133223,1
2166.262715,0.00682215,837.0298249,0.838096043,0.470468646,8.569454121,0.470468646,0.08259631,6.635457656,1
2002.311482,0.006418674,830.0343487,0.828322027,0.473466699,8.743169508,0.473466699,0.080116626,6.550391876,1
1814.230179,0.006894184,718.695265,0.834675764,0.498032781,8.480968255,0.498032781,0.083031223,5.86371052,1
1451.980989,0.005605776,845.1288233,0.774580172,0.491192965,9.012083718,0.491192965,0.074871732,7.236913696,1
2046.197807,0.011533068,691.5952357,0.855439072,0.527890853,7.555914397,0.527890853,0.107392123,6.332720083,1
2170.773674,0.008328926,1025.034294,0.808996852,0.420860824,8.903414634,0.420860824,0.091262952,8.145907728,1
1485.169098,0.005582283,785.6108988,0.790854438,0.464969695,9.006857892,0.464969695,0.07471468,6.6920365,1
2399.809209,0.00834314,903.110327,0.841637079,0.45722735,8.602239873,0.45722735,0.09134079,7.224716438,1
2281.003095,0.008742357,946.6334578,0.828163596,0.454473859,8.493065482,0.454473859,0.093500571,7.519465732,1
2517.446292,0.007945049,1027.274569,0.830558281,0.44847997,8.666005439,0.44847997,0.089135007,7.996790673,1
3331.232254,0.008045771,1093.570239,0.859020228,0.497991296,8.646485089,0.497991296,0.089698225,8.244507964,1
1597.167182,0.005319087,773.6904559,0.805029341,0.468172512,9.021678845,0.468172512,0.072932071,6.589294138,1
2409.15989,0.008134793,1053.958708,0.820528541,0.469553249,8.611316153,0.469553249,0.090193085,8.276364972,1
2042.335336,0.007458641,754.0994909,0.8441715,0.511575895,8.409510766,0.511575895,0.086363425,6.022653173,1
1895.993085,0.005299653,752.0256228,0.834504456,0.447621794,9.176456581,0.447621794,0.072798713,6.457119234,1
1860.19646,0.010431005,623.5281447,0.856473964,0.527428917,8.255502467,0.527428917,0.102132293,6.279020165,1
2548.124869,0.006259786,1035.308473,0.83115381,0.462428592,8.924012588,0.462428592,0.079118812,7.791479846,1
2284.337644,0.007698351,950.8546795,0.827729739,0.439469905,8.657927317,0.439469905,0.087740247,7.543808234,1
1648.2553,0.005692064,651.527898,0.834992782,0.494869138,8.946167204,0.494869138,0.075445769,5.722834403,1
2301.870646,0.008052848,1107.595899,0.806094047,0.437745694,8.675362933,0.437745694,0.089737663,8.483042814,1
2040.666543,0.007702899,983.2656715,0.805900835,0.464123971,8.574857134,0.464123971,0.087766161,7.573930545,1
2096.490499,0.006269202,807.3484666,0.838544151,0.488870789,8.836022171,0.488870789,0.079178295,6.57809405,1
1973.841078,0.008198294,922.6435883,0.810589832,0.486255889,8.435824612,0.486255889,0.090544431,7.306143744,1
1790.510056,0.00760038,930.3313891,0.793786381,0.464239508,8.460599811,0.464239508,0.087180156,7.452459058,1
2317.444128,0.007936397,904.9528406,0.836655115,0.44157251,8.754092932,0.44157251,0.089086459,7.422365575,1
2117.618487,0.007458472,1047.397272,0.801733745,0.450634247,8.563478297,0.450634247,0.086362444,7.893712808,1
2039.463202,0.009973791,623.5397602,0.867401979,0.539640717,7.973835765,0.539640717,0.099868869,6.036764642,1
2171.695094,0.007552809,1070.373278,0.80228719,0.45712159,8.636020356,0.45712159,0.086906901,8.195148738,1
2360.588433,0.007961024,1016.393534,0.822909361,0.456893071,8.608706482,0.456893071,0.089224573,8.039634574,1
2491.671689,0.008120007,1009.297978,0.831577425,0.446773667,8.672937148,0.446773667,0.090111082,7.963800806,1
2375.716929,0.008256167,1079.37897,0.814884378,0.444801261,8.713162097,0.444801261,0.090863451,8.686281451,1
1558.404715,0.004892397,788.7175033,0.798055777,0.451903547,9.251113444,0.451903547,0.069945672,7.137567067,1
2145.50822,0.006499905,1200.990099,0.781334669,0.468660657,8.672736149,0.468660657,0.080621986,8.907666614,1
2005.543986,0.00657952,999.4811082,0.80052612,0.4378991,8.857856762,0.4378991,0.081114241,7.993556603,1
1992.571132,0.006489245,869.0096703,0.82101216,0.468320872,8.930307177,0.468320872,0.080555851,7.277932852,1
2075.507326,0.006052098,960.2849782,0.812133642,0.393169649,9.426017776,0.393169649,0.077795232,8.33105703,1
2247.183723,0.008385041,832.2864063,0.843753502,0.474769983,8.481318035,0.474769983,0.091569869,6.648797955,1
2483.305492,0.012764686,842.9654507,0.854907072,0.474499778,7.601191747,0.474499778,0.11298091,7.578920775,1
2175.166139,0.006224346,889.5390645,0.830247059,0.458852165,8.953749298,0.458852165,0.078894524,7.028553642,1
2431.108222,0.009092087,1275.884803,0.792137519,0.514717086,7.682618338,0.514717086,0.095352437,8.878576612,1
4152.871963,0.029485153,1346.487679,0.86064215,0.565113561,6.524733528,0.565113561,0.171712414,10.59716724,1
3710.467273,0.008962257,1894.867775,0.796597976,0.45924134,7.689751841,0.45924134,0.094669197,12.59027302,1
2644.662326,0.008858906,1044.705266,0.835140225,0.501483268,8.044653571,0.501483268,0.094121763,7.913685424,1
2540.254633,0.00827655,1359.413762,0.788925038,0.494076453,7.866918365,0.494076453,0.090975547,9.514481903,1
2471.411276,0.00847051,1150.079656,0.811251944,0.513702375,7.75539542,0.513702375,0.092035376,8.137667461,1
3046.32712,0.01070954,1445.296532,0.808318088,0.477454673,7.716161252,0.477454673,0.10348691,10.11746207,1
3093.818665,0.008617636,1195.933596,0.838034214,0.532259576,8.039753832,0.532259576,0.092831224,8.763665624,1
2405.822598,0.007342258,1166.217733,0.804910794,0.496727947,7.92744075,0.496727947,0.085686975,8.533618022,1
2027.66856,0.011014624,599.9544959,0.871135381,0.515744851,7.747555211,0.515744851,0.10495058,5.729586638,1
2321.479845,0.007367582,1218.942332,0.792057005,0.539389541,8.09917619,0.539389541,0.085834623,8.874722173,1
3230.120041,0.010702404,1157.70362,0.848031911,0.531554588,7.601828949,0.531554588,0.103452422,8.322754517,1
2626.463159,0.00978341,1321.531333,0.799010436,0.491107812,7.750330424,0.491107812,0.098911124,9.08908436,1
3385.564451,0.01041199,2162.939872,0.75789982,0.477169353,7.669952272,0.477169353,0.10203916,14.00804672,1
3519.902671,0.012679332,1363.107334,0.837782808,0.499160285,7.7835177,0.499160285,0.112602539,9.485101356,1
2569.863341,0.008745406,1089.152828,0.825174167,0.568461829,7.66679985,0.568461829,0.093516878,7.666066635,1
2106.314377,0.007519457,1101.529969,0.792760249,0.546470881,8.012820008,0.546470881,0.086714802,7.833260225,1
2765.488565,0.011604967,1527.746942,0.783631185,0.491805008,7.746383756,0.491805008,0.107726353,11.45748192,1
2752.374518,0.009357324,1061.670455,0.838322363,0.550207157,7.960235182,0.550207157,0.096733261,8.130672027,1
2908.111666,0.010625824,1493.13176,0.795734445,0.477548489,7.601298658,0.477548489,0.103081639,10.16495334,1
1861.210846,0.006650858,757.1304661,0.831008451,0.518948179,8.470550681,0.518948179,0.081552793,6.711028334,1
2775.191281,0.00950459,1249.830751,0.8162205,0.548359202,7.794829309,0.548359202,0.097491486,9.149820539,1
2523.379566,0.00866467,1080.611395,0.823647421,0.547587732,7.893948288,0.547587732,0.093084207,8.166770003,1
2555.426436,0.008632245,1469.27074,0.776711494,0.499245013,7.837473625,0.499245013,0.092909877,10.0432646,1
3043.74442,0.011181891,1181.220679,0.837492709,0.550618489,7.582135351,0.550618489,0.105744462,8.542386138,1
2791.23005,0.008483129,1012.15607,0.846557522,0.54812927,7.907684035,0.54812927,0.092103901,7.366252739,1
2895.800002,0.010078938,1286.275449,0.818268173,0.570575531,7.635064523,0.570575531,0.100393914,8.867131232,1
3079.069434,0.01032231,1520.115187,0.80204189,0.51318283,7.44434991,0.51318283,0.101598769,10.01951362,1
3231.347553,0.010890964,1574.286504,0.804129111,0.474711599,7.795138402,0.474711599,0.10435978,10.90067672,1
2760.906018,0.00840709,1508.40736,0.785439737,0.526981854,7.887475927,0.526981854,0.091690184,10.50361787,1
2691.241268,0.009648564,1308.633648,0.804422392,0.553439413,7.695664724,0.553439413,0.098227104,9.575839073,1
1362.64521,0.00709029,757.4968485,0.782502707,0.514281405,8.302726888,0.514281405,0.084203859,6.520772463,1
1867.268684,0.007194051,1238.664956,0.750953408,0.522199728,8.171099877,0.522199728,0.084817754,8.986566258,1
2596.471658,0.007569854,1352.137409,0.793412163,0.528958499,7.802200761,0.528958499,0.087004909,9.730947684,1
2210.94015,0.008076516,1247.227191,0.779997215,0.535397633,7.705543851,0.535397633,0.089869441,8.855572996,1
2511.765927,0.007714462,1201.642775,0.806971402,0.491789752,7.963045196,0.491789752,0.087832013,8.761154461,1
2531.234118,0.006159933,1197.105094,0.808779519,0.519447508,8.596803918,0.519447508,0.078485241,8.775458071,1
2724.281344,0.007227699,1133.587634,0.827784922,0.533312033,8.457724068,0.533312033,0.085015872,8.867752961,1
2083.155319,0.006679324,992.0772731,0.807702586,0.516960327,8.292442014,0.516960327,0.081727132,7.842659464,1
3861.818701,0.015111954,1318.259942,0.854205845,0.539591132,7.583317257,0.539591132,0.122930689,9.933839254,1
2096.504433,0.007924885,1234.506093,0.772561172,0.530131192,7.941563707,0.530131192,0.089021822,8.720400316,1
2951.468144,0.008603943,1399.449467,0.808360111,0.477119431,7.913383102,0.477119431,0.09275744,9.860773132,1
1514.746355,0.008934996,718.0837513,0.808415219,0.552006056,7.987589456,0.552006056,0.094525107,6.475499493,1
3435.13578,0.010708377,1425.837542,0.828131988,0.51997151,7.80000255,0.51997151,0.103481289,10.02571673,1
2333.56544,0.010197595,1576.671804,0.747487948,0.480184847,7.713054075,0.480184847,0.100983144,10.72769189,1
3019.937673,0.009832353,1441.206371,0.807353408,0.49393707,7.807622947,0.49393707,0.09915822,10.43136256,1
