var,asm,contrast,correlation,idm,entropy,homogenity,energy,dissimilarity
2378.244684,0.009157831,1211.821712,0.79701692,0.525641774,7.810224461,0.525641774,0.095696555,8.398867739
2231.711952,0.008901218,1225.951925,0.784519809,0.493865241,7.91515804,0.493865241,0.094346268,8.767636599
2054.426557,0.006830291,1165.783478,0.778995825,0.464011463,8.416441886,0.464011463,0.082645574,8.621759588
1567.73571,0.008009166,668.1850878,0.824331754,0.499687497,8.325646742,0.499687497,0.089493943,6.199938283
1557.136176,0.00408427,890.2227241,0.777694458,0.468373399,9.29181155,0.468373399,0.063908297,7.383221889
1644.350369,0.004071063,952.2600635,0.775463491,0.44889245,9.423438138,0.44889245,0.063804883,7.890429256
2068.083179,0.006896239,831.6877904,0.832588535,0.448639606,8.762521344,0.448639606,0.083043594,6.706965167
2020.961483,0.00758454,786.619024,0.83710203,0.457140456,8.605832056,0.457140456,0.087089266,6.536450532
1943.497975,0.005576562,803.1517842,0.828773275,0.494835069,8.817401578,0.494835069,0.074676385,6.476803614
1672.687426,0.006887064,965.50553,0.776047607,0.463051197,8.718878445,0.463051197,0.082988337,7.331133223
2166.262715,0.00682215,837.0298249,0.838096043,0.470468646,8.569454121,0.470468646,0.08259631,6.635457656
2002.311482,0.006418674,830.0343487,0.828322027,0.473466699,8.743169508,0.473466699,0.080116626,6.550391876
1814.230179,0.006894184,718.695265,0.834675764,0.498032781,8.480968255,0.498032781,0.083031223,5.86371052
1451.980989,0.005605776,845.1288233,0.774580172,0.491192965,9.012083718,0.491192965,0.074871732,7.236913696
2046.197807,0.011533068,691.5952357,0.855439072,0.527890853,7.555914397,0.527890853,0.107392123,6.332720083
2170.773674,0.008328926,1025.034294,0.808996852,0.420860824,8.903414634,0.420860824,0.091262952,8.145907728
1485.169098,0.005582283,785.6108988,0.790854438,0.464969695,9.006857892,0.464969695,0.07471468,6.6920365
2399.809209,0.00834314,903.110327,0.841637079,0.45722735,8.602239873,0.45722735,0.09134079,7.224716438
2281.003095,0.008742357,946.6334578,0.828163596,0.454473859,8.493065482,0.454473859,0.093500571,7.519465732
2517.446292,0.007945049,1027.274569,0.830558281,0.44847997,8.666005439,0.44847997,0.089135007,7.996790673
3331.232254,0.008045771,1093.570239,0.859020228,0.497991296,8.646485089,0.497991296,0.089698225,8.244507964
1597.167182,0.005319087,773.6904559,0.805029341,0.468172512,9.021678845,0.468172512,0.072932071,6.589294138
2409.15989,0.008134793,1053.958708,0.820528541,0.469553249,8.611316153,0.469553249,0.090193085,8.276364972
2042.335336,0.007458641,754.0994909,0.8441715,0.511575895,8.409510766,0.511575895,0.086363425,6.022653173
1895.993085,0.005299653,752.0256228,0.834504456,0.447621794,9.176456581,0.447621794,0.072798713,6.457119234
1860.19646,0.010431005,623.5281447,0.856473964,0.527428917,8.255502467,0.527428917,0.102132293,6.279020165
2548.124869,0.006259786,1035.308473,0.83115381,0.462428592,8.924012588,0.462428592,0.079118812,7.791479846
2284.337644,0.007698351,950.8546795,0.827729739,0.439469905,8.657927317,0.439469905,0.087740247,7.543808234
1648.2553,0.005692064,651.527898,0.834992782,0.494869138,8.946167204,0.494869138,0.075445769,5.722834403
2301.870646,0.008052848,1107.595899,0.806094047,0.437745694,8.675362933,0.437745694,0.089737663,8.483042814
2040.666543,0.007702899,983.2656715,0.805900835,0.464123971,8.574857134,0.464123971,0.087766161,7.573930545
2096.490499,0.006269202,807.3484666,0.838544151,0.488870789,8.836022171,0.488870789,0.079178295,6.57809405
1973.841078,0.008198294,922.6435883,0.810589832,0.486255889,8.435824612,0.486255889,0.090544431,7.306143744
